調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98,超級/高級柴油,二行程無鉛,煤油,甲種漁船油(KL),乙種漁船油(KL),低硫燃料油(0.5%)(KL),甲種低硫燃料油/低硫鍋爐油(0.5%)(KL),特種低硫燃料油(KL),低硫鍋爐油(1%)(KL)
2024/3/6,29.5,31,33,27.1,28,42.2,19893,15978,21096,0,25096,12336
2024/3/4,29.5,31,33,27.1,28,42.2,19893,15978,22259,0,25563,12336
2024/2/26,29.4,30.9,32.9,26.9,28,42.2,19693,15778,22259,0,25563,12336
2024/2/19,29.4,30.9,32.9,26.9,28,42.2,19693,15778,22259,0,25563,12336
2024/2/12,29,30.5,32.5,27,28,42.2,19793,15878,22259,0,25563,12336
2024/2/6,29,30.5,32.5,27.4,28,42.2,20193,16278,22259,0,25563,12336
2024/2/5,29,30.5,32.5,27.4,28,42.2,20193,16278,22618,0,26618,12336
2024/1/29,29,30.5,32.5,27.5,28,42.2,20293,16378,22618,0,26618,12336
2024/1/22,28.9,30.4,32.4,27.7,28,42.2,20493,16578,22618,0,26618,12336
2024/1/15,29,30.5,32.5,27.8,28,42.2,20593,16678,22618,0,26618,12336
2024/1/8,29.2,30.7,32.7,27.8,28,42.2,20593,16678,22618,0,26618,12336
2024/1/6,29.5,31,33,27.9,28,42.2,20693,16778,22618,0,26618,12336
2024/1/3,29.5,31,33,27.9,28,42.2,20693,16778,21862,0,25862,12336
2024/1/1,29.5,31,33,27.9,28,42.7,20693,16778,21862,0,25862,12336
2023/12/26,29.6,31.1,33.1,28,28,42.7,20793,16878,21862,0,25862,12336
2023/12/25,29.6,31.1,33.1,28,28,42.3,20793,16878,21862,0,25862,12336
2023/12/19,29.2,30.7,32.7,27.9,28,42.3,20693,16778,21862,0,25862,12336
2023/12/18,29.2,30.7,32.7,27.9,28,43,20693,16778,21862,0,25862,12336
2023/12/12,29.5,31,33,27.6,28,43,20393,16478,21862,0,25862,12336
2023/12/11,29.5,31,33,27.6,28,43.7,20393,16478,21862,0,25862,12336
2023/12/6,29.5,31,33,27,28,43.7,19793,15878,21862,0,25862,12336
2023/12/5,29.5,31,33,27,28,43.7,19793,15878,20827,0,24827,12336
2023/12/4,29.5,31,33,27,28,44,19793,15878,20827,0,24827,12336
2023/11/27,29.5,31,33,27.1,28,44,19893,15978,20827,0,24827,12336
2023/11/21,29.5,31,33,27.1,28,44,19893,15978,20827,0,24827,12336
2023/11/20,29.5,31,33,27.1,28,44.4,19893,15978,20827,0,24827,12336
2023/11/14,29.6,31.1,33.1,27.1,28,44.4,19893,15978,20827,0,24827,12336
2023/11/13,29.6,31.1,33.1,27.1,28,45.4,19893,15978,20827,0,24827,12336
2023/11/7,29.7,31.2,33.2,27.2,28,45.4,19993,16078,20827,0,24827,12336
2023/11/6,29.7,31.2,33.2,27.2,28,45.8,19993,16078,20827,0,24827,12336
2023/10/31,29.7,31.2,33.2,27.3,28,45.8,20093,16178,20155,0,24155,12336
2023/10/30,29.7,31.2,33.2,27.3,28,46.4,20093,16178,20155,0,24155,12336
2023/10/24,29.9,31.4,33.4,27.5,28,46.4,20293,16378,20155,0,24155,12336
2023/10/23,29.9,31.4,33.4,27.5,28,45.7,20293,16378,20155,0,24155,12336
2023/10/17,30.2,31.7,33.7,27.8,28,45.7,20593,16678,20155,0,24155,12336
2023/10/16,30.2,31.7,33.7,27.8,28,46.4,20593,16678,20155,0,24155,12336
2023/10/12,30.7,32.2,34.2,28.3,28,46.4,21093,17178,20155,0,24155,12336
2023/10/9,30.7,32.2,34.2,28.3,28,47.1,21093,17178,20155,0,24155,12336
2023/10/6,30.8,32.3,34.3,28.4,28,47.1,21193,17278,20155,0,24155,12336
2023/10/2,30.8,32.3,34.3,28.4,28,47.1,21193,17278,20080,0,24080,12336
2023/9/25,31.1,32.6,34.6,28.6,28,47.1,21393,17478,20080,0,24080,12336
2023/9/19,31.4,32.9,34.9,29,28,47.1,21793,17878,20080,0,24080,12336
2023/9/18,31.4,32.9,34.9,29,28,46.1,21793,17878,20080,0,24080,12336
2023/9/12,31.6,33.1,35.1,29.1,28,46.1,21893,17978,20080,0,24080,12336
2023/9/11,31.6,33.1,35.1,29.1,28,45.8,21893,17978,20080,0,24080,12336
2023/9/6,31.2,32.7,34.7,29.3,28,45.8,22093,18178,20080,0,24080,12336
2023/9/4,31.2,32.7,34.7,29.3,28,45.4,22093,18178,20088,0,23946,12336
2023/8/29,31.1,32.6,34.6,29.2,28,45.4,21993,18078,20088,0,23946,12336
2023/8/28,31.1,32.6,34.6,29.2,28,44.5,21993,18078,20088,0,23946,12336
2023/8/21,31.2,32.7,34.7,28.8,28,44.5,21593,17678,20088,0,23946,12336
2023/8/15,31.1,32.6,34.6,28.7,28,44.5,21493,17578,20088,0,23946,12336
2023/8/14,31.1,32.6,34.6,28.7,28,43.4,21493,17578,20088,0,23946,12336
2023/8/8,30.5,32,34,28.2,28,43.4,20993,17078,20088,0,23946,12336
2023/8/7,30.5,32,34,28.2,28,41.5,20993,17078,20088,0,23946,12336
2023/8/6,30.3,31.8,33.8,28,28,41.5,20793,16878,20088,0,23946,12336
2023/8/1,30.3,31.8,33.8,28,28,41.5,20793,16878,19987,0,23987,12336
2023/7/31,30.3,31.8,33.8,28,28,39.9,20793,16878,19987,0,23987,12336
