調價日期,無鉛汽油92,無鉛汽油95,無鉛汽油98,超級/高級柴油,二行程無鉛,煤油,甲種漁船油(KL),乙種漁船油(KL),低硫燃料油(0.5%)(KL),甲種低硫燃料油/低硫鍋爐油(0.5%)(KL),特種低硫燃料油(KL),低硫鍋爐油(1%)(KL)
2024-03-06,29.5,31.0,33.0,27.1,,42.2,19893.0,15978.0,21096.0,0.0,25096.0,
2024-03-04,29.5,31.0,33.0,27.1,,42.2,19893.0,15978.0,22259.0,0.0,25563.0,
2024-02-26,29.4,30.9,32.9,26.9,,42.2,19693.0,15778.0,22259.0,0.0,25563.0,
2024-02-19,29.4,30.9,32.9,26.9,,42.2,19693.0,15778.0,22259.0,0.0,25563.0,
2024-02-12,29.0,30.5,32.5,27.0,,42.2,19793.0,15878.0,22259.0,0.0,25563.0,
2024-02-06,29.0,30.5,32.5,27.4,,42.2,20193.0,16278.0,22259.0,0.0,25563.0,
2024-02-05,29.0,30.5,32.5,27.4,,42.2,20193.0,16278.0,22618.0,0.0,26618.0,
2024-01-29,29.0,30.5,32.5,27.5,,42.2,20293.0,16378.0,22618.0,0.0,26618.0,
2024-01-22,28.9,30.4,32.4,27.7,,42.2,20493.0,16578.0,22618.0,0.0,26618.0,
2024-01-15,29.0,30.5,32.5,27.8,,42.2,20593.0,16678.0,22618.0,0.0,26618.0,
2024-01-08,29.2,30.7,32.7,27.8,,42.2,20593.0,16678.0,22618.0,0.0,26618.0,
2024-01-06,29.5,31.0,33.0,27.9,,42.2,20693.0,16778.0,22618.0,0.0,26618.0,
2024-01-03,29.5,31.0,33.0,27.9,,42.2,20693.0,16778.0,21862.0,0.0,25862.0,
2024-01-01,29.5,31.0,33.0,27.9,,42.7,20693.0,16778.0,21862.0,0.0,25862.0,
2023-12-26,29.6,31.1,33.1,28.0,,42.7,20793.0,16878.0,21862.0,0.0,25862.0,
2023-12-25,29.6,31.1,33.1,28.0,,42.3,20793.0,16878.0,21862.0,0.0,25862.0,
2023-12-19,29.2,30.7,32.7,27.9,,42.3,20693.0,16778.0,21862.0,0.0,25862.0,
2023-12-18,29.2,30.7,32.7,27.9,,43.0,20693.0,16778.0,21862.0,0.0,25862.0,
2023-12-12,29.5,31.0,33.0,27.6,,43.0,20393.0,16478.0,21862.0,0.0,25862.0,
2023-12-11,29.5,31.0,33.0,27.6,,43.7,20393.0,16478.0,21862.0,0.0,25862.0,
2023-12-06,29.5,31.0,33.0,27.0,,43.7,19793.0,15878.0,21862.0,0.0,25862.0,
2023-12-05,29.5,31.0,33.0,27.0,,43.7,19793.0,15878.0,20827.0,0.0,24827.0,
2023-12-04,29.5,31.0,33.0,27.0,,44.0,19793.0,15878.0,20827.0,0.0,24827.0,
2023-11-27,29.5,31.0,33.0,27.1,,44.0,19893.0,15978.0,20827.0,0.0,24827.0,
2023-11-21,29.5,31.0,33.0,27.1,,44.0,19893.0,15978.0,20827.0,0.0,24827.0,
2023-11-20,29.5,31.0,33.0,27.1,,44.4,19893.0,15978.0,20827.0,0.0,24827.0,
2023-11-14,29.6,31.1,33.1,27.1,,44.4,19893.0,15978.0,20827.0,0.0,24827.0,
2023-11-13,29.6,31.1,33.1,27.1,,45.4,19893.0,15978.0,20827.0,0.0,24827.0,
2023-11-07,29.7,31.2,33.2,27.2,,45.4,19993.0,16078.0,20827.0,0.0,24827.0,
2023-11-06,29.7,31.2,33.2,27.2,,45.8,19993.0,16078.0,20827.0,0.0,24827.0,
2023-10-31,29.7,31.2,33.2,27.3,,45.8,20093.0,16178.0,20155.0,0.0,24155.0,
2023-10-30,29.7,31.2,33.2,27.3,,46.4,20093.0,16178.0,20155.0,0.0,24155.0,
2023-10-24,29.9,31.4,33.4,27.5,,46.4,20293.0,16378.0,20155.0,0.0,24155.0,
2023-10-23,29.9,31.4,33.4,27.5,,45.7,20293.0,16378.0,20155.0,0.0,24155.0,
2023-10-17,30.2,31.7,33.7,27.8,,45.7,20593.0,16678.0,20155.0,0.0,24155.0,
2023-10-16,30.2,31.7,33.7,27.8,,46.4,20593.0,16678.0,20155.0,0.0,24155.0,
2023-10-12,30.7,32.2,34.2,28.3,,46.4,21093.0,17178.0,20155.0,0.0,24155.0,
2023-10-09,30.7,32.2,34.2,28.3,,47.1,21093.0,17178.0,20155.0,0.0,24155.0,
2023-10-06,30.8,32.3,34.3,28.4,,47.1,21193.0,17278.0,20155.0,0.0,24155.0,
2023-10-02,30.8,32.3,34.3,28.4,,47.1,21193.0,17278.0,20080.0,0.0,24080.0,
2023-09-25,31.1,32.6,34.6,28.6,,47.1,21393.0,17478.0,20080.0,0.0,24080.0,
2023-09-19,31.4,32.9,34.9,29.0,,47.1,21793.0,17878.0,20080.0,0.0,24080.0,
2023-09-18,31.4,32.9,34.9,29.0,,46.1,21793.0,17878.0,20080.0,0.0,24080.0,
